time,P
-40.2,-0.07048257682827744
-40.099999999999994,-0.07064821835510787
-40.0,-0.07081283579076379
-39.9,-0.07097619008389554
-39.8,-0.07113801385869885
-39.7,-0.07129803265825584
-39.599999999999994,-0.07145597202564863
-39.5,-0.0716115575039593
-39.4,-0.07176451463626998
-39.3,-0.07191456896566278
-39.2,-0.0720614460352198
-39.099999999999994,-0.07220487138802317
-39.0,-0.07234457056715499
-38.9,-0.07248026479839473
-38.8,-0.07261165803831134
-38.7,-0.0727384499261711
-38.599999999999994,-0.07286034010124035
-38.5,-0.07297702820278536
-38.4,-0.07308821387007244
-38.3,-0.07319359674236793
-38.2,-0.07329287645893809
-38.099999999999994,-0.07338575265904927
-38.0,-0.07347192498196772
-37.9,-0.0735510927669446
-37.8,-0.07362295415317026
-37.7,-0.07368720697981988
-37.599999999999994,-0.07374354908606864
-37.5,-0.07379167831109172
-37.4,-0.0738312924940643
-37.3,-0.07386208947416156
-37.2,-0.07388376709055867
-37.099999999999994,-0.07389602318243083
-37.0,-0.0738985555889532
-36.9,-0.07389106701581746
-36.8,-0.07387327963478127
-36.7,-0.07384492048411878
-36.599999999999994,-0.07380571660210414
-36.5,-0.07375539502701152
-36.4,-0.07369368279711505
-36.3,-0.0736203069506889
-36.2,-0.07353499452600723
-36.099999999999994,-0.07343747256134416
-36.0,-0.07332746809497387
-35.9,-0.07320471916821233
-35.8,-0.07306900783454286
-35.7,-0.07292012715049061
-35.599999999999994,-0.07275787017258067
-35.5,-0.07258202995733826
-35.4,-0.07239239956128846
-35.3,-0.07218877204095642
-35.2,-0.0719709404528673
-35.099999999999994,-0.0717386978535462
-35.0,-0.07149183729951832
-34.9,-0.07123016965031673
-34.8,-0.07095357697750655
-34.7,-0.07066195915566088
-34.599999999999994,-0.07035521605935274
-34.5,-0.0700332475631553
-34.4,-0.06969595354164154
-34.3,-0.0693432338693846
-34.2,-0.06897498842095756
-34.099999999999994,-0.06859111707093343
-34.0,-0.06819151969388541
-33.9,-0.06777612087903155
-33.8,-0.06734494407417022
-33.7,-0.0668980374417449
-33.599999999999994,-0.0664354491441989
-33.5,-0.06595722734397576
-33.4,-0.06546342020351884
-33.3,-0.06495407588527154
-33.2,-0.06442924255167737
-33.099999999999994,-0.0638889683651796
-33.0,-0.06333330148822183
-32.9,-0.06276232099193108
-32.8,-0.06217622958216937
-32.7,-0.061575260873482494
-32.599999999999994,-0.060959648480416045
-32.5,-0.060329626017515924
-32.4,-0.05968542709932772
-32.3,-0.0590272853403972
-32.2,-0.05835543435527015
-32.099999999999994,-0.05767010775849214
-32.0,-0.056971539164609106
-31.9,-0.05625999771780227
-31.799999999999997,-0.05553589468079571
-31.7,-0.05479967684594913
-31.599999999999998,-0.05405179100562216
-31.5,-0.05329268395217453
-31.4,-0.05252280247796587
-31.299999999999997,-0.05174259337535588
-31.2,-0.05095250343670427
-31.099999999999998,-0.05015297945437068
-31.0,-0.049344468220714824
-30.9,-0.048527454452598824
-30.799999999999997,-0.0477025745648948
-30.7,-0.046870502896977397
-30.599999999999998,-0.04603191378822112
-30.5,-0.04518748157800064
-30.4,-0.04433788060569049
-30.299999999999997,-0.04348378521066527
-30.2,-0.042625869732299614
-30.099999999999998,-0.04176480850996806
-30.0,-0.04090127588304525
-29.9,-0.04003598363878681
-29.799999999999997,-0.03916979335597286
-29.7,-0.038303604061264596
-29.599999999999998,-0.03743831478132313
-29.5,-0.036574824542809706
-29.4,-0.035714032372385435
-29.299999999999997,-0.03485683729671152
-29.2,-0.034004138342449156
-29.099999999999998,-0.03315683453625948
-29.0,-0.03231582490480371
-28.9,-0.03148204166466478
-28.799999999999997,-0.030656549792112908
-28.7,-0.029840447453340156
-28.599999999999998,-0.029034832814538475
-28.5,-0.028240804041899933
-28.4,-0.02745945930161649
-28.299999999999997,-0.02669189675988019
-28.2,-0.02593921458288307
-28.099999999999998,-0.025202510936817094
-28.0,-0.024482883987874328
-27.9,-0.023781455987515916
-27.799999999999997,-0.023099445528279812
-27.699999999999996,-0.02243809528797313
-27.6,-0.021798647944403022
-27.5,-0.021182346175376506
-27.4,-0.020590432658700742
-27.299999999999997,-0.02002415007218284
-27.199999999999996,-0.01948474109362991
-27.1,-0.018973448400849097
-27.0,-0.01849151467164744
-26.9,-0.01804019189261773
-26.799999999999997,-0.017620769285495316
-26.699999999999996,-0.017234545380801176
-26.6,-0.016882818709056332
-26.5,-0.01656688780078171
-26.4,-0.016288051186498335
-26.299999999999997,-0.016047607396727188
-26.199999999999996,-0.01584685496198926
-26.1,-0.01568709241280555
-26.0,-0.015569618279697018
-25.9,-0.015495719853411203
-25.799999999999997,-0.015466639465601763
-25.699999999999996,-0.015483608208148892
-25.6,-0.015547857172932777
-25.5,-0.015660617451833624
-25.4,-0.01582312013673162
-25.299999999999997,-0.01603659631950696
-25.199999999999996,-0.016302277092039838
-25.1,-0.016621393546210422
-25.0,-0.016995176773898956
-24.9,-0.017424821262774677
-24.799999999999997,-0.01791137508366313
-24.699999999999996,-0.01845584970317892
-24.6,-0.01905925658793662
-24.5,-0.019722607204550924
-24.4,-0.0204469130196364
-24.299999999999997,-0.021233185499807662
-24.199999999999996,-0.022082436111679316
-24.1,-0.022995676321865912
-24.0,-0.023973917596982187
-23.9,-0.025018106470516804
-23.799999999999997,-0.026128929743454963
-23.699999999999996,-0.027307009283655967
-23.6,-0.02855296695897904
-23.5,-0.029867424637283674
-23.4,-0.031251004186429086
-23.299999999999997,-0.03270432747427458
-23.199999999999996,-0.03422801636867949
-23.1,-0.03582269273750299
-23.0,-0.037488978448604625
-22.9,-0.03922740150351817
-22.799999999999997,-0.0410381144384758
-22.699999999999996,-0.04292117592338428
-22.6,-0.04487664462815022
-22.5,-0.04690457922268066
-22.4,-0.04900503837688222
-22.299999999999997,-0.051178080760661646
-22.199999999999996,-0.05342376504392571
-22.1,-0.055742149896580995
-22.0,-0.05813329398853458
-21.9,-0.06059713546445178
-21.799999999999997,-0.06313313036803288
-21.699999999999996,-0.06574061421773686
-21.599999999999994,-0.06841892253202272
-21.5,-0.07116739082934927
-21.4,-0.07398535462817588
-21.299999999999997,-0.07687214944696136
-21.199999999999996,-0.0798271108041647
-21.099999999999994,-0.0828495742182449
-21.0,-0.08593887520766072
-20.9,-0.08909420793119821
-20.799999999999997,-0.09231420110894922
-20.699999999999996,-0.09559734210133242
-20.599999999999994,-0.09894211826876645
-20.5,-0.10234701697166976
-20.4,-0.10581052557046149
-20.299999999999997,-0.10933113142556007
-20.199999999999996,-0.11290732189738417
-20.099999999999994,-0.11653758434635247
-20.0,-0.12022040613288336
-19.9,-0.12395412212733137
-19.799999999999997,-0.12773645723979155
-19.699999999999996,-0.13156498389029453
-19.599999999999994,-0.13543727449887102
-19.5,-0.13935090148555132
-19.4,-0.14330343727036668
-19.299999999999997,-0.14729245427334747
-19.199999999999996,-0.1513155249145243
-19.099999999999994,-0.15537022161392786
-19.0,-0.1594541167915885
-18.9,-0.163564632565858
-18.799999999999997,-0.16769858984836955
-18.699999999999996,-0.17185265924907725
-18.599999999999994,-0.1760235113779351
-18.5,-0.18020781684489687
-18.4,-0.1844022462599172
-18.299999999999997,-0.18860347023294985
-18.199999999999996,-0.1928081593739489
-18.099999999999994,-0.19701298429286834
-18.0,-0.20121461559966197
-17.9,-0.2054095920580847
-17.799999999999997,-0.20959392504709165
-17.699999999999996,-0.21376349409943848
-17.599999999999994,-0.21791417874788094
-17.5,-0.22204185852517438
-17.4,-0.2261424129640751
-17.299999999999997,-0.2302117215973385
-17.199999999999996,-0.23424566395772023
-17.099999999999994,-0.23824011957797603
-17.0,-0.24219096799086126
-16.9,-0.24609399346733846
-16.799999999999997,-0.2499445992311941
-16.699999999999996,-0.25373809324442126
-16.599999999999994,-0.257469783469013
-16.5,-0.2611349778669621
-16.4,-0.2647289844002621
-16.299999999999997,-0.26824711103090576
-16.199999999999996,-0.2716846657208862
-16.099999999999994,-0.2750369564321964
-16.0,-0.2782992911268292
-15.899999999999999,-0.2814669374621119
-15.799999999999997,-0.28453500187670605
-15.699999999999996,-0.28749855050460726
-15.599999999999994,-0.2903526494798112
-15.5,-0.2930923649363133
-15.399999999999999,-0.29571276300810945
-15.299999999999997,-0.2982089098291951
-15.199999999999996,-0.30057587153356596
-15.099999999999994,-0.30280871425521755
-15.0,-0.3049025041281453
-14.899999999999999,-0.3068523385335157
-14.799999999999997,-0.3086534398411765
-14.699999999999996,-0.31030106166814636
-14.599999999999994,-0.3117904576314437
-14.5,-0.3131168813480871
-14.399999999999999,-0.31427558643509507
-14.299999999999997,-0.3152618265094862
-14.199999999999996,-0.31607085518827893
-14.099999999999994,-0.31669792608849184
-14.0,-0.3171382928271434
-13.899999999999999,-0.31738732418806453
-13.799999999999997,-0.31744084962233565
-13.699999999999996,-0.31729481374784935
-13.599999999999994,-0.31694516118249844
-13.5,-0.3163878365441757
-13.399999999999999,-0.3156187844507737
-13.299999999999997,-0.31463394952018525
-13.199999999999996,-0.31342927637030304
-13.099999999999994,-0.3120007096190199
-13.0,-0.3103441938842285
-12.899999999999999,-0.30845587803920277
-12.799999999999997,-0.3063327279787417
-12.699999999999996,-0.30397191385302574
-12.599999999999994,-0.3013706058122352
-12.5,-0.29852597400655045
-12.399999999999999,-0.29543518858615153
-12.299999999999997,-0.29209541970121894
-12.199999999999996,-0.2885038375019329
-12.099999999999994,-0.28465761213847385
-12.0,-0.28055391376102234
-11.899999999999999,-0.27619020091391644
-11.799999999999997,-0.27156508571812854
-11.699999999999996,-0.26667746868878905
-11.599999999999994,-0.26152625034102855
-11.5,-0.2561103311899777
-11.399999999999999,-0.25042861175076636
-11.299999999999997,-0.2444799925385252
-11.199999999999996,-0.2382633740683848
-11.099999999999994,-0.23177765685547552
-11.0,-0.22502174141492834
-10.899999999999999,-0.21799488391163982
-10.799999999999997,-0.21069776310957616
-10.699999999999996,-0.2031314134224702
-10.599999999999994,-0.1952968692640548
-10.5,-0.18719516504806333
-10.399999999999999,-0.17882733518822744
-10.299999999999997,-0.17019441409828057
-10.199999999999996,-0.16129743619195552
-10.099999999999994,-0.15213743588298512
-10.0,-0.14271544758510288
-9.899999999999999,-0.13303289973206398
-9.799999999999997,-0.12309279683772041
-9.699999999999996,-0.11289853743594724
-9.599999999999994,-0.10245352006061952
-9.5,-0.09176114324561303
-9.399999999999999,-0.08082480552480133
-9.299999999999997,-0.06964790543206019
-9.199999999999996,-0.05823384150126468
-9.099999999999994,-0.04658601226628982
-9.0,-0.034707816261011534
-8.899999999999999,-0.022603045384049343
-8.799999999999997,-0.010277064993010045
-8.699999999999996,0.002264366189754223
-8.599999999999994,0.015015489441891322
-8.5,0.027970546041048178
-8.399999999999999,0.0411237772648745
-8.299999999999997,0.054469424391017235
-8.199999999999996,0.06800172869712426
-8.099999999999994,0.0817149314608434
-8.0,0.09560327395982157
-7.899999999999999,0.1096606499797815
-7.799999999999997,0.12387956333873482
-7.699999999999996,0.13825217036276702
-7.599999999999994,0.15277062737796365
-7.5,0.16742709071040918
-7.399999999999999,0.18221371668619124
-7.299999999999997,0.19712266163139425
-7.199999999999996,0.2121460818721038
-7.099999999999994,0.2272761337344054
-7.0,0.24250497354438344
-6.899999999999999,0.25782450149957964
-6.799999999999997,0.27322559328334844
-6.699999999999996,0.2886988684504993
-6.599999999999994,0.3042349465558417
-6.5,0.319824447154184
